user_id,games,wins,win_rate,length_mean,magic_total,magic_max,cards_mean,tournaments,worlds_tours,trainings,practices,loses,prediction
218766,1,0,0.0,424.0,0,0,15.0,1,0,0,0,1,1
218769,33,28,0.8484848484848485,218.5151515151515,20,5,27.90909090909091,33,0,0,0,5,0
218770,20,19,0.95,157.85,22,3,44.55,20,0,0,0,1,0
218771,16,14,0.875,317.8125,19,4,34.1875,16,0,0,0,2,0
218772,10,8,0.8,299.8,0,0,8.2,10,0,0,0,2,0
218773,14,13,0.9285714285714286,322.57142857142856,15,4,45.5,14,0,0,0,1,0
218776,6,6,1.0,108.83333333333333,0,0,28.5,6,0,0,0,0,0
218778,50,44,0.88,115.34,0,0,30.64,47,3,0,0,6,0
218784,12,12,1.0,129.66666666666666,5,3,32.666666666666664,12,0,0,0,0,1
218790,2,1,0.5,457.5,0,0,17.0,2,0,0,0,1,0
218793,20,18,0.9,161.65,11,4,7.55,20,0,0,0,2,0
218806,1,0,0.0,539.0,0,0,5.0,1,0,0,0,1,0
218809,96,83,0.8645833333333334,106.92708333333333,17,2,32.78125,48,48,0,0,13,0
218816,15,12,0.8,223.06666666666666,19,4,33.86666666666667,15,0,0,0,3,0
218817,3,3,1.0,205.66666666666666,1,1,40.0,3,0,0,0,0,0
218818,25,23,0.92,281.04,27,6,38.8,25,0,0,0,2,0
218821,13,11,0.8461538461538461,192.69230769230768,16,4,42.07692307692308,13,0,0,0,2,0
218822,127,110,0.8661417322834646,196.82677165354332,23,4,26.4251968503937,65,62,0,0,17,0
218828,1,0,0.0,59.0,0,0,0.0,1,0,0,0,1,1
218830,80,71,0.8875,120.8,0,0,25.2375,49,31,0,0,9,0
218836,124,104,0.8387096774193549,211.61290322580646,24,7,29.774193548387096,111,13,0,0,20,0
218838,6,5,0.8333333333333334,121.83333333333333,3,1,43.5,6,0,0,0,1,1
218850,115,99,0.8608695652173913,148.4695652173913,26,3,25.895652173913042,87,28,0,0,16,0
218851,16,9,0.5625,383.375,6,2,17.5625,16,0,0,0,7,0
218853,9,8,0.8888888888888888,230.33333333333334,10,3,34.666666666666664,9,0,0,0,1,1
218859,5,4,0.8,225.8,20,10,27.4,5,0,0,0,1,0
218862,13,13,1.0,258.6923076923077,19,6,20.923076923076923,12,0,1,0,0,0
218863,1,0,0.0,55.0,0,0,0.0,1,0,0,0,1,0
218865,7,6,0.8571428571428571,291.7142857142857,17,7,45.857142857142854,7,0,0,0,1,1
218873,18,16,0.8888888888888888,199.11111111111111,28,5,43.44444444444444,18,0,0,0,2,0
218874,3,3,1.0,162.66666666666666,4,4,38.333333333333336,3,0,0,0,0,0
218881,12,12,1.0,193.58333333333334,12,3,41.416666666666664,12,0,0,0,0,0
218887,2,1,0.5,89.0,0,0,6.5,2,0,0,0,1,0
218889,4,2,0.5,580.25,1,1,5.75,4,0,0,0,2,1
218891,13,11,0.8461538461538461,247.92307692307693,19,7,40.0,13,0,0,0,2,1
218892,14,12,0.8571428571428571,337.92857142857144,21,6,36.5,14,0,0,0,2,0
218894,3,3,1.0,295.3333333333333,7,4,44.333333333333336,3,0,0,0,0,0
218907,20,15,0.75,289.95,18,2,31.4,20,0,0,0,5,0
218910,9,8,0.8888888888888888,310.8888888888889,10,5,29.444444444444443,9,0,0,0,1,1
218913,3,3,1.0,356.0,6,4,52.0,3,0,0,0,0,1
218915,44,36,0.8181818181818182,289.90909090909093,24,4,26.636363636363637,44,0,0,0,8,0
218916,2,1,0.5,279.0,1,1,26.0,2,0,0,0,1,0
218917,29,27,0.9310344827586207,262.7931034482759,20,3,34.3448275862069,29,0,0,0,2,0
218918,24,22,0.9166666666666666,114.33333333333333,12,4,34.958333333333336,23,1,0,0,2,0
218919,30,27,0.9,166.13333333333333,11,3,21.633333333333333,30,0,0,0,3,0
218921,6,6,1.0,169.83333333333334,1,1,21.833333333333332,6,0,0,0,0,1
218927,38,36,0.9473684210526315,160.94736842105263,7,3,27.18421052631579,38,0,0,0,2,0
218929,227,196,0.8634361233480177,111.02643171806167,28,4,33.81057268722467,163,64,0,0,31,0
218932,3,1,0.3333333333333333,247.33333333333334,1,1,18.333333333333332,3,0,0,0,2,0
218934,7,6,0.8571428571428571,406.85714285714283,20,12,25.571428571428573,7,0,0,0,1,0
218935,19,17,0.8947368421052632,170.6315789473684,17,6,33.78947368421053,19,0,0,0,2,0
218940,1,0,0.0,55.0,0,0,0.0,1,0,0,0,1,1
218942,3,3,1.0,117.66666666666667,0,0,52.0,3,0,0,0,0,0
218943,3,3,1.0,227.33333333333334,10,4,40.0,3,0,0,0,0,0
218944,4,3,0.75,287.25,3,2,32.75,4,0,0,0,1,1
218946,6,6,1.0,157.83333333333334,3,1,30.333333333333332,6,0,0,0,0,1
218957,3,3,1.0,336.6666666666667,12,8,52.0,3,0,0,0,0,0
218962,3,3,1.0,224.33333333333334,5,3,52.0,3,0,0,0,0,0
218966,6,6,1.0,239.33333333333334,9,6,46.166666666666664,6,0,0,0,0,0
218967,3,3,1.0,285.3333333333333,10,8,27.666666666666668,3,0,0,0,0,0
218968,3,3,1.0,268.3333333333333,1,1,39.0,3,0,0,0,0,0
218977,25,23,0.92,200.36,3,2,17.68,25,0,0,0,2,0
218980,3,3,1.0,284.6666666666667,1,1,35.333333333333336,3,0,0,0,0,0
218983,216,184,0.8518518518518519,116.56018518518519,13,2,32.476851851851855,156,60,0,0,32,0
218986,4,3,0.75,461.0,5,4,17.5,4,0,0,0,1,0
218993,8,7,0.875,258.875,2,2,19.5,8,0,0,0,1,0
218996,9,9,1.0,407.3333333333333,5,2,25.77777777777778,9,0,0,0,0,0
219000,6,6,1.0,235.83333333333334,3,1,31.333333333333332,6,0,0,0,0,0
219001,9,9,1.0,225.33333333333334,19,6,48.666666666666664,9,0,0,0,0,0
219002,2,1,0.5,180.5,0,0,26.0,2,0,0,0,1,0
219004,12,12,1.0,232.91666666666666,9,3,38.916666666666664,12,0,0,0,0,0
